Item,Qty,Designator,Comment,LibPart,Footprint,Part Type,JLCPCB Part #,Comment
2,7,"C5, C6, C13, C14, C15, C16, C21",10nF 250V,Cap,C0603,Extended Part,C336636,
3,2,"C7, C17",1000pF 2KV,Cap,C1206,Extended Part,C173242,
4,1,C8,220uF 25V,Cap_Polarized,Capacitor_SMD:CP_Elec_6.3x7.7,Extended Part,C371974,
12,2,"D1, D2",MB6S,Diode_Bridge:MB6S,Package_TO_SOT_SMD:TO-269AA,Extended Part,C2487,
13,1,D3,SMBJ58A,SMBJ58A_C707476,D_SMB,Extended Part,C707476,
14,1,D4,SMAJ5.0CA,SMAJ5.0CA-C83324,D_SMA,Extended Part,C83324,
22,1,L3,HY601742,HY601742,RJ45-SMD_HY601742,Extended Part,C55684,
24,1,L5,SMNR4020-2.2UH,SMNR4020-2.2UH,IND-SMD_L4.0-W4.0_SMNR4020,Extended Part,C135262,
25,1,L7,33uH,LVS606045-330M-N,IND-SMD_L6.0-W6.0,Extended Part,C285825,
34,1,RJ1,R-RJ45S08P-C000,R-RJ45S08P-C000,RJ45-TH_R-RJ45S08P-C000,Extended Part,C386764,
36,1,U2,MT9700,MT9700,Package_TO_SOT_SMD:SOT-23-5,Extended Part,C89855,
23,1,L6,600R,GZ1608D601TF,L0603,Basic Part,C1002,Bottom
26,4,"R5, R6, R7, R8",75R,Res,R0603,Basic Part,C4275,Bottom